Year,Team,NZCoach,Wins,Losses,NoResult,Points,AdjPoints
2021,CSK,1,9,5,0,18,18
2021,DC,0,10,4,0,20,20
2021,KKR,1,7,7,0,14,14
2021,MI,0,7,7,0,14,14
2021,PBKS,0,6,8,0,12,12
2021,RCB,1,9,5,0,18,18
2021,RR,0,5,9,0,10,10
2021,SRH,0,3,11,0,6,6
2020,CSK,1,6,8,0,12,12
2020,DC,0,8,6,0,16,16
2020,KKR,1,7,7,0,14,14
2020,MI,0,9,5,0,18,18
2020,PBKS,0,6,8,0,12,12
2020,RCB,0,7,7,0,14,14
2020,RR,0,6,8,0,12,12
2020,SRH,0,7,7,0,14,14
2019,CSK,1,9,5,0,18,18
2019,DC,0,9,5,0,18,18
2019,KKR,0,6,8,0,12,12
2019,MI,0,9,5,0,18,18
2019,PBKS,0,6,8,0,12,12
2019,RCB,0,5,8,1,11,11
2019,RR,0,5,8,1,11,11
2019,SRH,0,6,8,0,12,12
2018,CSK,1,9,5,0,18,18
2018,DC,0,5,9,0,10,10
2018,KKR,0,8,6,0,16,16
2018,MI,0,6,8,0,12,12
2018,PBKS,0,6,8,0,12,12
2018,RCB,1,6,8,0,12,12
2018,RR,0,7,7,0,14,14
2018,SRH,0,9,4,1,19,19
2017,DC,0,6,8,0,12,12
2017,GL,0,4,10,0,8,8
2017,KKR,0,8,6,0,16,16
2017,MI,0,10,4,0,20,20
2017,PBKS,0,7,7,0,14,14
2017,RCB,1,3,10,1,7,7
2017,RPS,1,9,5,0,18,18
2017,SRH,0,8,6,0,16,16
2016,DC,0,7,7,0,14,14
2016,GL,0,9,5,0,18,18
2016,KKR,0,8,6,0,16,16
2016,MI,0,7,7,0,14,14
2016,PBKS,0,4,10,0,8,8
2016,RCB,1,8,6,0,16,16
2016,RPS,1,5,9,0,10,10
2016,SRH,0,8,6,0,16,16
2015,CSK,1,9,5,0,18,18
2015,DC,0,5,8,1,11,11
2015,KKR,0,7,6,1,15,15
2015,MI,0,8,6,0,16,16
2015,PBKS,0,3,11,0,6,6
2015,RCB,1,7,5,2,16,16
2015,RR,0,7,5,2,16,16
2015,SRH,0,7,7,0,14,14
2014,CSK,1,9,5,0,18,18
2014,DC,0,2,12,0,4,4
2014,KKR,0,9,5,0,18,18
2014,MI,1,7,7,0,14,14
2014,PBKS,0,11,3,0,22,22
2014,RCB,1,5,9,0,10,10
2014,RR,0,7,7,0,14,14
2014,SRH,0,6,8,0,12,12
2013,CSK,1,11,5,0,22,19.25
2013,DC,0,3,13,0,6,5.25
2013,KKR,0,6,10,0,12,10.5
2013,MI,1,11,5,0,22,19.25
2013,PBKS,0,8,8,0,16,14
2013,PWI,0,4,12,0,8,7
2013,RCB,0,9,7,0,18,15.75
2013,RR,0,10,6,0,20,17.5
2013,SRH,0,10,6,0,20,17.5
2012,CSK,1,8,7,1,17,14.875
2012,DC,0,11,5,0,22,19.25
2012,HDC,0,4,11,1,9,7.875
2012,KKR,0,10,5,1,21,18.375
2012,MI,0,10,6,0,20,17.5
2012,PBKS,0,8,8,0,16,14
2012,PWI,0,4,12,0,8,7
2012,RCB,0,8,7,1,17,14.875
2012,RR,0,7,9,0,14,12.25
2011,CSK,1,9,5,0,18,18
2011,DC,0,4,9,1,9,9
2011,HDC,0,6,8,0,12,12
2011,KKR,0,8,6,0,16,16
2011,KTK,0,6,8,0,12,12
2011,MI,0,9,5,0,18,18
2011,PBKS,0,7,7,0,14,14
2011,PWI,0,4,9,1,9,9
2011,RCB,0,9,4,1,19,19
2011,RR,0,6,7,1,13,13
2010,CSK,1,7,7,0,14,14
2010,DC,0,7,7,0,14,14
2010,HDC,0,8,6,0,16,16
2010,KKR,0,7,7,0,14,14
2010,MI,0,10,4,0,20,20
2010,PBKS,0,4,10,0,8,8
2010,RCB,0,7,7,0,14,14
2010,RR,0,6,8,0,12,12
2009,CSK,1,8,5,1,17,17
2009,DC,0,10,4,0,20,20
2009,HDC,0,7,7,0,14,14
2009,KKR,0,3,10,1,7,7
2009,MI,0,5,8,1,11,11
2009,PBKS,0,7,7,0,14,14
2009,RCB,0,8,6,0,16,16
2009,RR,0,6,7,1,13,13
2008,CSK,0,8,6,0,16,16
2008,DC,0,7,6,1,15,15
2008,HDC,0,2,12,0,4,4
2008,KKR,0,6,7,1,13,13
2008,MI,0,7,7,0,14,14
2008,PBKS,0,10,4,0,20,20
2008,RCB,0,4,10,0,8,8
2008,RR,0,11,3,0,22,22